;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
1;algarrobo;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;160;2013;5602
2;algarrobo;sí, ahora mismo;mapuche;mujer;32;2013;5602
3;algarrobo;no;no pertenece a ningún pueblo indígena;hombre;607;2013;5602
4;algarrobo;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;864;2013;5602
5;algarrobo;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;877;2013;5602
6;algarrobo;no;mapuche;mujer;132;2013;5602
7;algarrobo;no;no pertenece a ningún pueblo indígena;mujer;3206;2013;5602
8;algarrobo;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;302;2013;5602
9;alhué;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;115;2013;13502
10;alhué;no;no pertenece a ningún pueblo indígena;mujer;683;2013;13502
11;alhué;no;no pertenece a ningún pueblo indígena;hombre;279;2013;13502
12;alhué;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;593;2013;13502
13;alhué;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;136;2013;13502
14;alhué;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;451;2013;13502
15;alto biobío;no;aymara;mujer;113;2013;8314
16;alto biobío;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;37;2013;8314
17;alto biobío;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;25;2013;8314
18;alto biobío;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;37;2013;8314
19;alto biobío;no;mapuche;mujer;2885;2013;8314
20;alto biobío;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;75;2013;8314
21;alto biobío;sí, ahora mismo;mapuche;mujer;286;2013;8314
22;alto biobío;no;no pertenece a ningún pueblo indígena;mujer;293;2013;8314
23;alto biobío;no;mapuche;hombre;2511;2013;8314
24;alto biobío;sí, en otra época del año;mapuche;mujer;13;2013;8314
25;alto biobío;no;no pertenece a ningún pueblo indígena;hombre;104;2013;8314
26;alto biobío;sí, ahora mismo;aymara;hombre;12;2013;8314
27;alto biobío;no;aymara;hombre;12;2013;8314
28;alto biobío;sí, en otra época del año;mapuche;hombre;125;2013;8314
29;alto biobío;sí, ahora mismo;mapuche;hombre;147;2013;8314
30;alto del carmen;sí, en otra época del año;diaguita;hombre;36;2013;3302
31;alto del carmen;no;mapuche;mujer;18;2013;3302
32;alto del carmen;no;no pertenece a ningún pueblo indígena;hombre;73;2013;3302
33;alto del carmen;no;no pertenece a ningún pueblo indígena;mujer;194;2013;3302
34;alto del carmen;no;diaguita;mujer;961;2013;3302
35;alto del carmen;sí, ahora mismo;diaguita;hombre;36;2013;3302
36;alto del carmen;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;12;2013;3302
37;alto del carmen;sí, en otra época del año;diaguita;mujer;30;2013;3302
38;alto del carmen;sí, ahora mismo;diaguita;mujer;121;2013;3302
39;alto del carmen;no;diaguita;hombre;656;2013;3302
40;alto hospicio;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;1867;2013;1107
41;alto hospicio;ns/nr;no pertenece a ningún pueblo indígena;hombre;38;2013;1107
42;alto hospicio;sí, ahora mismo;diaguita;hombre;23;2013;1107
43;alto hospicio;sí, ahora mismo;coya;hombre;17;2013;1107
44;alto hospicio;sí, ahora mismo;aymara;hombre;372;2013;1107
45;alto hospicio;no;aymara;mujer;2351;2013;1107
46;alto hospicio;no;ns/nr;mujer;20;2013;1107
47;alto hospicio;no;no pertenece a ningún pueblo indígena;hombre;8104;2013;1107
48;alto hospicio;sí, en otra época del año;mapuche;hombre;40;2013;1107
49;alto hospicio;no;diaguita;hombre;215;2013;1107
50;alto hospicio;no;mapuche;hombre;668;2013;1107
51;alto hospicio;no;mapuche;mujer;992;2013;1107
52;alto hospicio;sí, ahora mismo;mapuche;hombre;109;2013;1107
53;alto hospicio;sí, en otra época del año;quechua;mujer;79;2013;1107
54;alto hospicio;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;1865;2013;1107
55;alto hospicio;sí, en otra época del año;diaguita;mujer;115;2013;1107
56;alto hospicio;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;2486;2013;1107
57;alto hospicio;no;coya;mujer;51;2013;1107
58;alto hospicio;ns/nr;no pertenece a ningún pueblo indígena;mujer;36;2013;1107
59;alto hospicio;sí, en otra época del año;mapuche;mujer;104;2013;1107
60;alto hospicio;ns/nr;mapuche;mujer;28;2013;1107
61;alto hospicio;sí, ahora mismo;mapuche;mujer;183;2013;1107
62;alto hospicio;ns/nr;mapuche;hombre;28;2013;1107
63;alto hospicio;sí, en otra época del año;aymara;hombre;231;2013;1107
64;alto hospicio;no;diaguita;mujer;173;2013;1107
65;alto hospicio;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;1217;2013;1107
66;alto hospicio;sí, en otra época del año;coya;mujer;52;2013;1107
67;alto hospicio;sí, en otra época del año;diaguita;hombre;66;2013;1107
68;alto hospicio;sí, ahora mismo;quechua;mujer;48;2013;1107
69;alto hospicio;sí, en otra época del año;aymara;mujer;265;2013;1107
70;alto hospicio;sí, ahora mismo;aymara;mujer;270;2013;1107
71;alto hospicio;no;aymara;hombre;1334;2013;1107
72;alto hospicio;no;quechua;hombre;109;2013;1107
73;alto hospicio;sí, en otra época del año;quechua;hombre;45;2013;1107
74;alto hospicio;no;quechua;mujer;138;2013;1107
75;alto hospicio;no;no pertenece a ningún pueblo indígena;mujer;15893;2013;1107
76;ancud;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;933;2013;10202
77;ancud;no;mapuche;hombre;661;2013;10202
78;ancud;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;767;2013;10202
79;ancud;sí, ahora mismo;mapuche;mujer;494;2013;10202
80;ancud;sí, en otra época del año;mapuche;mujer;535;2013;10202
81;ancud;sí, en otra época del año;mapuche;hombre;149;2013;10202
82;ancud;sí, ahora mismo;mapuche;hombre;185;2013;10202
83;ancud;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;1168;2013;10202
84;ancud;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;443;2013;10202
85;ancud;no;no pertenece a ningún pueblo indígena;mujer;6126;2013;10202
86;ancud;no;no pertenece a ningún pueblo indígena;hombre;3950;2013;10202
87;ancud;no;mapuche;mujer;1669;2013;10202
88;andacollo;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;266;2013;4103
89;andacollo;no;no pertenece a ningún pueblo indígena;mujer;1844;2013;4103
90;andacollo;no;no pertenece a ningún pueblo indígena;hombre;937;2013;4103
91;andacollo;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;102;2013;4103
92;andacollo;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;70;2013;4103
93;andacollo;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;49;2013;4103
94;angol;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;3192;2013;9201
95;angol;sí, en otra época del año;ns/nr;hombre;50;2013;9201
96;angol;sí, en otra época del año;mapuche;mujer;247;2013;9201
97;angol;no;mapuche;mujer;994;2013;9201
98;angol;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;1593;2013;9201
99;angol;no;no pertenece a ningún pueblo indígena;hombre;4323;2013;9201
100;angol;ns/nr;no pertenece a ningún pueblo indígena;hombre;61;2013;9201
101;angol;no;mapuche;hombre;251;2013;9201
102;angol;sí, ahora mismo;mapuche;mujer;80;2013;9201
103;angol;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;1273;2013;9201
104;angol;sí, en otra época del año;ns/nr;mujer;85;2013;9201
105;angol;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;1171;2013;9201
106;angol;no;no pertenece a ningún pueblo indígena;mujer;7495;2013;9201
107;angol;no;ns/nr;mujer;35;2013;9201
108;angol;sí, en otra época del año;mapuche;hombre;159;2013;9201
109;angol;sí, en otra época del año;diaguita;hombre;27;2013;9201
110;angol;sí, ahora mismo;mapuche;hombre;49;2013;9201
111;antofagasta;ns/nr;mapuche;mujer;51;2013;2101
112;antofagasta;no;aymara;mujer;435;2013;2101
113;antofagasta;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;5195;2013;2101
114;antofagasta;ns/nr;no pertenece a ningún pueblo indígena;mujer;118;2013;2101
115;antofagasta;no;diaguita;mujer;388;2013;2101
116;antofagasta;sí, en otra época del año;aymara;hombre;115;2013;2101
117;antofagasta;no;coya;mujer;134;2013;2101
118;antofagasta;sí, ahora mismo;atacameño (likán antai);mujer;128;2013;2101
119;antofagasta;sí, en otra época del año;aymara;mujer;64;2013;2101
120;antofagasta;no;atacameño (likán antai);hombre;289;2013;2101
121;antofagasta;sí, ahora mismo;ns/nr;hombre;67;2013;2101
122;antofagasta;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;12283;2013;2101
123;antofagasta;sí, ahora mismo;aymara;hombre;46;2013;2101
124;antofagasta;no;atacameño (likán antai);mujer;539;2013;2101
125;antofagasta;sí, ahora mismo;atacameño (likán antai);hombre;77;2013;2101
126;antofagasta;no;coya;hombre;268;2013;2101
127;antofagasta;no;mapuche;mujer;987;2013;2101
128;antofagasta;sí, en otra época del año;rapa nui (pascuense);hombre;90;2013;2101
129;antofagasta;no;quechua;mujer;265;2013;2101
130;antofagasta;sí, ahora mismo;mapuche;hombre;37;2013;2101
131;antofagasta;sí, en otra época del año;mapuche;mujer;416;2013;2101
132;antofagasta;no;quechua;hombre;83;2013;2101
133;antofagasta;no;no pertenece a ningún pueblo indígena;mujer;60403;2013;2101
134;antofagasta;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;10415;2013;2101
135;antofagasta;sí, ahora mismo;quechua;hombre;106;2013;2101
136;antofagasta;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;13002;2013;2101
137;antofagasta;sí, ahora mismo;aymara;mujer;253;2013;2101
138;antofagasta;no;aymara;hombre;335;2013;2101
139;antofagasta;no;diaguita;hombre;110;2013;2101
140;antofagasta;sí, en otra época del año;atacameño (likán antai);mujer;799;2013;2101
141;antofagasta;no;no pertenece a ningún pueblo indígena;hombre;31130;2013;2101
142;antofagasta;sí, ahora mismo;mapuche;mujer;345;2013;2101
143;antofagasta;sí, ahora mismo;diaguita;hombre;43;2013;2101
144;antofagasta;no;mapuche;hombre;867;2013;2101
145;antofagasta;sí, en otra época del año;mapuche;hombre;220;2013;2101
146;antuco;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;148;2013;8302
147;antuco;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;132;2013;8302
148;antuco;no;ns/nr;mujer;14;2013;8302
149;antuco;no;mapuche;mujer;22;2013;8302
150;antuco;no;no pertenece a ningún pueblo indígena;hombre;504;2013;8302
151;antuco;sí, en otra época del año;ns/nr;mujer;14;2013;8302
152;antuco;no;no pertenece a ningún pueblo indígena;mujer;985;2013;8302
153;antuco;sí, en otra época del año;mapuche;mujer;18;2013;8302
154;antuco;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;34;2013;8302
155;antuco;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;174;2013;8302
156;arauco;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;3493;2013;8202
157;arauco;sí, ahora mismo;mapuche;hombre;87;2013;8202
158;arauco;no;mapuche;mujer;611;2013;8202
159;arauco;no;mapuche;hombre;261;2013;8202
160;arauco;sí, en otra época del año;mapuche;mujer;69;2013;8202
161;arauco;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;1802;2013;8202
162;arauco;no;no pertenece a ningún pueblo indígena;mujer;7156;2013;8202
163;arauco;no;ns/nr;mujer;67;2013;8202
164;arauco;sí, ahora mismo;mapuche;mujer;250;2013;8202
165;arauco;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;806;2013;8202
166;arauco;sí, en otra época del año;mapuche;hombre;110;2013;8202
167;arauco;no;no pertenece a ningún pueblo indígena;hombre;3551;2013;8202
168;arauco;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;2863;2013;8202
169;arica;no;mapuche;mujer;803;2013;15101
170;arica;no;aymara;hombre;3719;2013;15101
171;arica;no;diaguita;mujer;157;2013;15101
172;arica;no;no pertenece a ningún pueblo indígena;mujer;20257;2013;15101
173;arica;sí, en otra época del año;coya;mujer;29;2013;15101
174;arica;no;atacameño (likán antai);mujer;36;2013;15101
