;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
1;alto hospicio;sí, en otra época del año;quechua;hombre;21;2015;1107
2;alto hospicio;no;atacameño (likán-antai);mujer;30;2015;1107
3;alto hospicio;no;collas;hombre;38;2015;1107
4;alto hospicio;no;quechua;hombre;165;2015;1107
5;alto hospicio;sí, en otra época del año;quechua;mujer;27;2015;1107
6;alto hospicio;no;diaguita;mujer;158;2015;1107
7;alto hospicio;sí, ahora mismo;aimara;mujer;491;2015;1107
8;alto hospicio;sí, ahora mismo;atacameño (likán-antai);mujer;69;2015;1107
9;alto hospicio;sí, en otra época del año;mapuche;mujer;37;2015;1107
10;alto hospicio;no;mapuche;hombre;202;2015;1107
11;alto hospicio;no;aimara;mujer;2669;2015;1107
12;alto hospicio;no;mapuche;mujer;499;2015;1107
13;alto hospicio;sí, ahora mismo;quechua;mujer;78;2015;1107
14;alto hospicio;sí, en otra época del año;aimara;hombre;37;2015;1107
15;alto hospicio;no;no pertenece a ningún pueblo indígena;hombre;8803;2015;1107
16;alto hospicio;sí, ahora mismo;aimara;hombre;147;2015;1107
17;alto hospicio;sí, ahora mismo;quechua;hombre;78;2015;1107
18;alto hospicio;sí, en otra época del año;mapuche;hombre;123;2015;1107
19;alto hospicio;sí, ahora mismo;sin dato;mujer;27;2015;1107
20;alto hospicio;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;3241;2015;1107
21;alto hospicio;sí, ahora mismo;diaguita;hombre;71;2015;1107
22;alto hospicio;sí, en otra época del año;aimara;mujer;303;2015;1107
23;alto hospicio;no;sin dato;hombre;27;2015;1107
24;alto hospicio;no;no pertenece a ningún pueblo indígena;mujer;16453;2015;1107
25;alto hospicio;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;2589;2015;1107
26;alto hospicio;no;aimara;hombre;776;2015;1107
27;alto hospicio;sí, ahora mismo;mapuche;mujer;117;2015;1107
28;alto hospicio;no;diaguita;hombre;74;2015;1107
29;alto hospicio;sí, en otra época del año;atacameño (likán-antai);mujer;92;2015;1107
30;alto hospicio;no;quechua;mujer;137;2015;1107
31;alto hospicio;sí, en otra época del año;diaguita;mujer;38;2015;1107
32;alto hospicio;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;3896;2015;1107
33;alto hospicio;sí, ahora mismo;mapuche;hombre;60;2015;1107
34;alto hospicio;sí, ahora mismo;atacameño (likán-antai);hombre;31;2015;1107
35;alto hospicio;no;atacameño (likán-antai);hombre;42;2015;1107
36;alto hospicio;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;1308;2015;1107
37;ancud;sí, ahora mismo;aimara;hombre;28;2015;10202
38;ancud;sí, en otra época del año;mapuche;mujer;525;2015;10202
39;ancud;no;mapuche;hombre;1083;2015;10202
40;ancud;sí, ahora mismo;mapuche;hombre;248;2015;10202
41;ancud;no;kawashkar o alacalufes;mujer;29;2015;10202
42;ancud;no;mapuche;mujer;1599;2015;10202
43;ancud;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;697;2015;10202
44;ancud;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;565;2015;10202
45;ancud;sí, en otra época del año;mapuche;hombre;211;2015;10202
46;ancud;sí, ahora mismo;aimara;mujer;28;2015;10202
47;ancud;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;764;2015;10202
48;ancud;no;no pertenece a ningún pueblo indígena;mujer;6159;2015;10202
49;ancud;sí, ahora mismo;mapuche;mujer;421;2015;10202
50;ancud;no;aimara;mujer;28;2015;10202
51;ancud;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;1496;2015;10202
52;ancud;no;no pertenece a ningún pueblo indígena;hombre;3580;2015;10202
53;angol;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;1942;2015;9201
54;angol;no;atacameño (likán-antai);mujer;23;2015;9201
55;angol;sí, en otra época del año;aimara;mujer;46;2015;9201
56;angol;sí, en otra época del año;mapuche;hombre;56;2015;9201
57;angol;no;no pertenece a ningún pueblo indígena;mujer;9938;2015;9201
58;angol;sí, en otra época del año;mapuche;mujer;156;2015;9201
59;angol;no;collas;hombre;172;2015;9201
60;angol;no;no pertenece a ningún pueblo indígena;hombre;3916;2015;9201
61;angol;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;2549;2015;9201
