;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
1;algarrobo;no;no pertenece a ningún pueblo indígena;hombre;1113;2011;5602
2;algarrobo;no;no pertenece a ningún pueblo indígena;mujer;2196;2011;5602
3;algarrobo;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;515;2011;5602
4;algarrobo;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;1848;2011;5602
5;algarrobo;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;228;2011;5602
6;algarrobo;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;684;2011;5602
7;alhué;no;no pertenece a ningún pueblo indígena;mujer;486;2011;13502
8;alhué;no;no pertenece a ningún pueblo indígena;hombre;285;2011;13502
9;alhué;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;230;2011;13502
10;alhué;no;mapuche;mujer;27;2011;13502
11;alhué;sí, en otra época del año;mapuche;mujer;18;2011;13502
12;alhué;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;260;2011;13502
13;alhué;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;183;2011;13502
14;alhué;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;117;2011;13502
15;alto biobío;sí, ahora mismo;no pertenece a ningún pueblo indígena;mujer;100;2011;8314
16;alto biobío;no;no pertenece a ningún pueblo indígena;hombre;7;2011;8314
17;alto biobío;no;mapuche;mujer;592;2011;8314
18;alto biobío;sí, en otra época del año;mapuche;hombre;451;2011;8314
19;alto biobío;no;no pertenece a ningún pueblo indígena;mujer;55;2011;8314
20;alto biobío;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;278;2011;8314
21;alto biobío;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;111;2011;8314
22;alto biobío;sí, en otra época del año;mapuche;mujer;1123;2011;8314
23;alto biobío;sí, ahora mismo;no pertenece a ningún pueblo indígena;hombre;172;2011;8314
24;alto biobío;sí, ahora mismo;mapuche;hombre;441;2011;8314
25;alto biobío;sí, ahora mismo;mapuche;mujer;1395;2011;8314
26;alto biobío;no;mapuche;hombre;287;2011;8314
27;alto del carmen;no;no pertenece a ningún pueblo indígena;hombre;220;2011;3302
28;alto del carmen;no;no pertenece a ningún pueblo indígena;mujer;483;2011;3302
